Table 1
,Title,Author,Genre,Goodreads link
"Beautiful World, Where Are You",,,,
,"Beautiful World, Where Are You",Sally Rooney,Fiction,https://www.goodreads.com/book/show/56597885-beautiful-world-where-are-you?from_choice=true
Dial A For Aunties,,,,
,Dial A For Aunties,Jesse Q Sutanto,Fiction,https://www.goodreads.com/book/show/53310061-dial-a-for-aunties?from_choice=true
Cloud Cuckoo Land,,,,
,Cloud Cuckoo Land,Anthony Doerr,Fiction,https://www.goodreads.com/book/show/56783258-cloud-cuckoo-land?from_choice=true
Once There Were Wolves,,,,
,Once There Were Wolves,Charlotte McConaghy,Fiction,https://www.goodreads.com/book/show/54860573-once-there-were-wolves?from_choice=true
The Paper Palace,,,,
,The Paper Palace,Miranda Cowley Hellers,Fiction,https://www.goodreads.com/book/show/58698241-the-paper-palace?from_choice=true
The Wish,,,,
,The Wish,Nicholas Sparks,Fiction,https://www.goodreads.com/book/show/56625098-the-wish?from_choice=true
The Guncle,,,,
,The Guncle,Steven Rowley,Fiction,https://www.goodreads.com/book/show/54508798-the-guncle?from_choice=true
"Detransition, Baby",,,,
,"Detransition, Baby",Torrey Peters,Fiction,https://www.goodreads.com/book/show/48890225-detransition-baby?from_choice=true
Golden Girl,,,,
,Golden Girl,Elin Hilderbrand,Fiction,https://www.goodreads.com/book/show/55643278-golden-girl?from_choice=true
The Reading List,,,,
,The Reading List,Sara Nisha Adams,Fiction,https://www.goodreads.com/book/show/55276648-the-reading-list?from_choice=true
That Summer,,,,
,That Summer,Jennifer Weiner,Fiction,https://www.goodreads.com/book/show/55467800-that-summer?from_choice=true
We Are The Brennans,,,,
,We Are The Brennans,Tracey Lange,Fiction,https://www.goodreads.com/book/show/55169040-we-are-the-brennans?from_choice=true
The One Hundred Years of Lenni and Margot,,,,
,The One Hundred Years of Lenni and Margot,Marianne Cronin,Fiction,https://www.goodreads.com/book/show/55577668-the-one-hundred-years-of-lenni-and-margot?from_choice=true
Black Buck,,,,
,Black Buck,Mateo Askaripour,Fiction,https://www.goodreads.com/book/show/56607366-black-buck?from_choice=true
Infinite Country,,,,
,Infinite Country,Patricia Engel,Fiction,https://www.goodreads.com/book/show/57290383-infinite-country?from_choice=true
The Sentence,,,,
,The Sentence,Louise Erdrich,Fiction,https://www.goodreads.com/book/show/56816904-the-sentence?from_choice=true
This Close To Okay,,,,
,This Close To Okay,Leesa Cross-Smith,Fiction,https://www.goodreads.com/book/show/56084279-this-close-to-okay?from_choice=true
Bewilderment,,,,
,Bewilderment,Richard Powers,Fiction,https://www.goodreads.com/book/show/56404444-bewilderment?from_choice=true
Oh William!,,,,
,Oh William!,Elizabeth Strout,Fiction,https://www.goodreads.com/book/show/56294820-oh-william?from_choice=true
One Two Three,,,,
,One Two Three,Laurie Frankel,Fiction,https://www.goodreads.com/book/show/42346406-one-two-three?from_choice=true
(blank),,,,
