Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
38819868,"My Sister, the Serial Killer",Oyinkan Braithwaite,"Braithwaite, Oyinkan",محمد عثمان خليفة,"=""0385544235""","=""9780385544238""",0,3.71,Doubleday Books,Hardcover,226,2018,2018,,2022/03/13,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
11923853,Queen Unseen: My Life with the Greatest Rock Band of the 20th Century,Peter Hince,"Hince, Peter",,"=""1843587483""","=""9781843587484""",4,3.67,John Blake,Hardcover,323,2011,2011,,2022/03/17,"non-fiction, currently-reading","non-fiction (#55), currently-reading (#5)",currently-reading,,,,1,,,0,,,,,
55812605,Hotel Magnifique,Emily J. Taylor,"Taylor, Emily J.",,"=""0593404513""","=""9780593404515""",3,3.86,Razorbill,Hardcover,400,2022,2022,2022/06/05,2022/06/04,,,read,,,,1,,,0,,,,,
53310061,Dial A for Aunties (Aunties #1),Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593336739""","=""9780593336731""",5,3.78,Berkley,Hardcover,299,2021,2021,2022/06/04,2022/03/13,,,read,,,,1,,,0,,,,,
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""""","=""""",5,4.18,St. Martin's Griffin,Paperback,448,2019,2019,2022/06/03,2022/03/13,,,read,,,,1,,,0,,,,,
55628983,Survive the Night,Riley Sager,"Sager, Riley",,"=""0593183169""","=""9780593183168""",5,3.51,Dutton Books,Hardcover,324,2021,2021,,2022/05/31,,,read,,,,1,,,0,,,,,
53288434,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,"=""0778311015""","=""9780778311010""",0,3.77,Park Row,Hardcover,301,2021,2021,,2022/03/13,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.06,Scholastic Press,Hardcover,398,2010,2010,,2022/05/27,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",4,4.30,Scholastic Press,Hardcover,391,2009,2009,2022/05/27,2022/05/23,,,read,,,,1,,,0,,,,,
55994372,The Paper Palace,Miranda Cowley Heller,"Heller, Miranda Cowley",,"=""""","=""""",4,3.88,Riverhead Books,Hardcover,400,2021,2021,2022/05/25,2022/05/23,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.32,Scholastic Press,Hardcover,374,2008,2008,2022/05/22,2022/05/18,,,read,,,,1,,,0,,,,,
44779795,"All Our Hidden Gifts (All Our Hidden Gifts, #1)",Caroline O'Donoghue,"O'Donoghue, Caroline",,"=""1536213942""","=""9781536213942""",5,3.98,Walker Books US,Hardcover,384,2021,2021,2022/05/10,2022/05/08,,,read,,,,1,,,0,,,,,
58470539,Quicksand of Memory,Michael J. Malone,"Malone, Michael J.",,"=""""","=""""",3,4.55,,Kindle Edition,300,2021,2021,,2022/05/08,,,read,,,,1,,,0,,,,,
29751398,The Power,Naomi Alderman,"Alderman, Naomi",,"=""0670919985""","=""9780670919987""",4,3.78,Viking,Hardcover,341,2017,2016,,2022/04/26,,,read,,,,1,,,0,,,,,
20949737,Butterflies in November,Auður Ava Ólafsdóttir,"Ólafsdóttir, Auður Ava",Brian FitzGibbon,"=""080212318X""","=""9780802123183""",0,3.37,"Grove Press, Black Cat",Paperback,296,2014,2004,,2022/04/19,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
41830657,Islands of Abandonment,Cal Flyn,"Flyn, Cal",,"=""0008329761""","=""9780008329761""",3,4.23,William Collins,Hardcover,376,2021,2021,2022/04/19,2022/04/18,,,read,,,,1,,,0,,,,,
59797347,"Dopesick: Dealers, Doctors and the Drug Company that Addicted America",Beth Macy,"Macy, Beth",,"=""1803284277""","=""9781803284279""",5,4.09,,Paperback,,2021,2018,2022/03/12,2022/03/06,favorites,favorites (#20),read,,,,1,,,0,,,,,
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""0525522131""","=""9780525522133""",5,3.74,Penguin Books,Paperback,289,2019,2018,2022/04/18,2022/04/12,favorites,favorites (#23),read,,,,1,,,0,,,,,
52376237,The Loop (The Loop Trilogy #1),Ben  Oliver,"Oliver, Ben",,"=""133858930X""","=""9781338589306""",4,3.89,Chicken House,Hardcover,368,2020,2020,2022/04/12,2022/04/10,,,read,,,,1,,,0,,,,,
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",0,4.48,Del Rey,Hardcover,524,2016,2016,,2022/04/10,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",4,4.44,Del Rey,ebook,430,2015,2015,2022/04/10,2022/03/06,,,read,,,,1,,,0,,,,,
41826984,Luckenbooth,Jenni Fagan,"Fagan, Jenni",,"=""0434023310""","=""9780434023318""",5,3.46,William Heinemann,Hardcover,352,2021,2021,2022/04/10,2022/04/04,,,read,,,,1,,,0,,,,,
52379865,For Your Own Good,Samantha  Downing,"Downing, Samantha",,"=""0593100972""","=""9780593100974""",3,3.83,Berkley,Hardcover,373,2021,2021,2022/04/04,2022/04/01,,,read,,,,1,,,0,,,,,
54895727,When the Stars Go Dark,Paula McLain,"McLain, Paula",,"=""0593237897""","=""9780593237892""",0,3.88,Ballantine Books,Hardcover,370,2021,2021,,2022/04/03,to-read,to-read (#173),to-read,,,,0,,,0,,,,,
56852407,Billy Summers,Stephen King,"King, Stephen",,"=""1982173610""","=""9781982173616""",0,4.25,Scribner,Hardcover,515,2021,2021,,2022/04/03,to-read,to-read (#172),to-read,,,,0,,,0,,,,,
36348525,Severance,Ling  Ma,"Ma, Ling",,"=""0374261598""","=""9780374261597""",0,3.91,"Farrar, Straus and Giroux",Hardcover,291,2018,2018,,2022/04/03,to-read,to-read (#171),to-read,,,,0,,,0,,,,,
43782399,Saint X,Alexis Schaitkin,"Schaitkin, Alexis",,"=""1250219590""","=""9781250219596""",0,3.45,Celadon Books,Hardcover,343,2020,2020,,2022/04/03,to-read,to-read (#170),to-read,,,,0,,,0,,,,,
43263520,The Grace Year,Kim Liggett,"Liggett, Kim",,"=""1250145449""","=""9781250145444""",0,4.15,Wednesday Books,Hardcover,416,2019,2019,,2022/04/03,to-read,to-read (#169),to-read,,,,0,,,0,,,,,
43209291,Akin,Emma Donoghue,"Donoghue, Emma",,"=""""","=""""",0,3.69,"Little, Brown and Company",Hardcover,352,2019,2019,,2022/04/03,to-read,to-read (#168),to-read,,,,0,,,0,,,,,
43811321,Things We Didn't Talk About When I Was a Girl: A Memoir,Jeannie Vanasco,"Vanasco, Jeannie",,"=""1947793454""","=""9781947793453""",0,3.92,Tin House Books,Hardcover,360,2019,2019,,2022/04/03,to-read,to-read (#167),to-read,,,,0,,,0,,,,,
421,The White Album,Joan Didion,"Didion, Joan",,"=""0374532079""","=""9780374532079""",0,4.12,"Farrar, Straus and Giroux",Paperback,224,2009,1979,,2022/04/03,to-read,to-read (#166),to-read,,,,0,,,0,,,,,
17803,After Dark,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0307265838""","=""9780307265838""",0,3.73,Knopf,Hardcover,191,2007,2004,,2022/04/03,to-read,to-read (#165),to-read,,,,0,,,0,,,,,
10357575,1Q84 (1Q84 #1-3),Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",0,3.93,Knopf,Hardcover,925,2011,2009,,2022/04/03,to-read,to-read (#164),to-read,,,,0,,,0,,,,,
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",0,4.03,Vintage Books,Paperback,296,2000,1987,,2022/04/03,to-read,to-read (#163),to-read,,,,0,,,0,,,,,
13153370,My Policeman,Bethan Roberts,"Roberts, Bethan","Emma Powell, Piers Hampton","=""0701185848""","=""9780701185848""",0,4.06,Chatto  Windus,Hardcover,352,2012,2012,,2022/04/03,to-read,to-read (#162),to-read,,,,0,,,0,,,,,
28960208,On Bowie,Rob Sheffield,"Sheffield, Rob",,"=""0062562703""","=""9780062562708""",0,3.91,Dey Street Books,Hardcover,197,2016,2016,,2022/04/03,to-read,to-read (#161),to-read,,,,0,,,0,,,,,
7515197,Talking to Girls about Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Rob Sheffield,"Sheffield, Rob",,"=""0525951563""","=""9780525951568""",0,3.58,Dutton Books,Hardcover,274,2010,2010,,2022/04/03,to-read,to-read (#160),to-read,,,,0,,,0,,,,,
42505380,The Substitution Order,Martin   Clark,"Clark, Martin",,"=""0525656324""","=""9780525656326""",0,3.90,Knopf Publishing Group,Hardcover,352,2019,2019,,2022/04/03,to-read,to-read (#159),to-read,,,,0,,,0,,,,,
56898262,State of Terror,Hillary Rodham Clinton,"Clinton, Hillary Rodham",Louise Penny,"=""198217367X""","=""9781982173678""",0,4.14,Simon & Schuster,Hardcover,495,2021,2021,,2022/04/03,to-read,to-read (#158),to-read,,,,0,,,0,,,,,
24100285,Space Opera,Catherynne M. Valente,"Valente, Catherynne M.",,"=""1472115074""","=""9781472115072""",0,3.51,Corsair,Hardcover,294,2018,2018,,2022/04/03,to-read,to-read (#157),to-read,,,,0,,,0,,,,,
54468020,Several People Are Typing,Calvin Kasulke,"Kasulke, Calvin",,"=""""","=""""",0,3.69,Doubleday,Kindle Edition,256,2021,2021,,2022/04/03,to-read,to-read (#156),to-read,,,,0,,,0,,,,,
46190,"Love Is a Mix Tape: Life and Loss, One Song at a Time",Rob Sheffield,"Sheffield, Rob",,"=""1400083028""","=""9781400083022""",5,3.85,Crown Publishing Group (NY),Hardcover,224,2007,2007,2022/04/01,2022/03/17,"non-fiction, favorites","non-fiction (#54), favorites (#22)",read,"Love Is a Mixtape explores the music that made a relationship, through sweet beginnings and bittersweet endings. Rob Sheffield shares endearing anecdotes about his first wife Renée throughout the book, and you can absolutely tell he was and still is in awe of her. It's poignant, funny, heartfelt, and a book that I'm sure a lot of people can relate to. After all, I'm pretty sure we can all remember the songs we listened to during the good and bad times in our lives – I might not have cassettes, but I've sure got the Spotify playlists, still! I had an absolute blast exploring the songs on the mixtapes at the beginning of each chapter as they gave me even more of an insight into the stories Rob tells throughout the book.<br/><br/>All in all, it's a five-star read for me!",,,1,,,0,,,,,
53305127,The Survivors,Jane Harper,"Harper, Jane",,"=""1760981052""","=""9781760981051""",3,3.77,Pan Macmillan,Hardcover,384,2020,2020,2022/03/26,2022/03/01,,,read,,,,1,,,0,,,,,
53414230,Open Water,Caleb Azumah Nelson,"Nelson, Caleb Azumah",,"=""0241448778""","=""9780241448779""",5,4.15,Viking,Hardcover,145,2021,2021,2022/03/20,2022/03/20,,,read,,,,1,,,0,,,,,
45186565,Uncanny Valley: A Memoir,Anna Wiener,"Wiener, Anna",,"=""0374278016""","=""9780374278014""",4,3.66,MCD,Hardcover,281,2020,2020,2022/03/20,2022/03/15,,,read,,,,1,,,0,,,,,
40538681,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,"Higginbotham, Adam",,"=""1501134612""","=""9781501134616""",0,4.38,Simon & Schuster,Hardcover,538,2019,2019,,2022/03/17,"non-fiction, to-read","non-fiction (#21), to-read (#155)",to-read,,,,0,,,0,,,,,
35181833,"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row",James Patterson,"Patterson, James","Alex Abramovich, Mike Harvkey","=""0316412651""","=""9780316412650""",0,3.85,"Little, Brown and Company",Hardcover,400,2018,2018,,2022/03/17,"non-fiction, to-read","non-fiction (#30), to-read (#154)",to-read,,,,0,,,0,,,,,
